video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,category_name
kzwfHumJyYc,2017-11-14,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,Lokdhun Punjabi,1,2017-11-12T12:20:39.000Z,1096327,33966,798,882,Film & Animation
7HTw1Jz5lcQ,2017-11-14,ಬಿಗ್ ಬಾಸ್ ಐದರ ಶ್ರೀಮಂತ ಮತ್ತು ಕಡು ಬಡವ ಸ್ಪರ್ದಿ ಯಾರು ಶಾಕಿಂಗ್ | big boss poor contestant,SANDALWOOD REVIEWS,1,2017-11-11T03:36:47.000Z,103665,566,66,76,Film & Animation
zUZ1z7FwLc8,2017-11-14,"पीरियड्स के समय, पेट पर पति करता ऐसा, देखकर दंग रह जायेंगे",HJ NEWS,25,2017-11-13T05:43:56.000Z,590101,735,904,0,News & Politics
10L1hZ9qa58,2017-11-14,Stylish Star Allu Arjun @ ChaySam Wedding Reception | TFPC,TFPC,24,2017-11-12T15:48:08.000Z,473988,2011,243,149,Entertainment
N1vE8iiEg64,2017-11-14,Eruma Saani | Tamil vs English,Eruma Saani,23,2017-11-12T07:08:48.000Z,1242680,70353,1624,2684,Comedy
kJzGH0PVQHQ,2017-11-14,why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception | Filmylooks,Filmylooks,24,2017-11-13T01:14:16.000Z,464015,492,293,66,Entertainment
il_pSa5l98w,2017-11-14,"MCA (Middle Class Abbayi) TEASER - Nani,Sai Pallavi, Dil Raju, Devi Sri Prasad, Sriram Venu",Dil Raju,24,2017-11-10T04:29:50.000Z,6106669,98612,4185,4763,Entertainment
7MxiQ4v0EnE,2017-11-14,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,Speed Records,10,2017-11-11T16:41:15.000Z,5718766,127477,7134,8063,Music
c64I9HNpiOY,2017-11-14,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,T-Series,10,2017-11-11T06:14:19.000Z,10588371,132738,8812,10847,Music
KObFEYCaRx8,2017-11-14,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya, Samantha Akkineni, Nag, Venkatesh",Top Telugu Media,24,2017-11-13T04:42:26.000Z,118223,520,53,23,Entertainment
g8QsfJhFpjY,2017-11-14,New bike vs Old bike - the reality,Jump Cuts,24,2017-11-12T04:30:01.000Z,969030,59798,1545,2404,Entertainment
MXH7yFFl3fE,2017-11-14,"8 राशियों की लगेंगी लॉटरी,16 नवम्बर के बाद खुब बरसेगा पैसा व प्यार,सूर्य राशि महापरिवर्तन",AstroMitram,22,2017-11-12T10:46:55.000Z,97522,838,189,49,People & Blogs
4du1KXBl4YU,2017-11-14,Mehjabi Reveals Hina Khan Dirty Politics | Exclusive Interview | Bigg Boss  11,TellyMasala,24,2017-11-12T17:30:00.000Z,632747,4330,2183,2869,Entertainment
Prb_osSVE0M,2017-11-14,Renu Desai Gives Rating For Pawan kalyan As Husband | Open Heart With RK | ABN Telugu,ABN Telugu,25,2017-11-13T09:51:59.000Z,156085,716,53,0,News & Politics
KHxdrECEsD0,2017-11-14,Peehu Srivastav Performs On Daiya Yeh Main kahan Aa Phasi | The Voice India Kids | Episode 1,The Voice India Kids,24,2017-11-11T19:19:13.000Z,472413,2611,250,174,Entertainment
so0ccfs-psI,2017-11-14,Rowi Na | Nadha Virender | Official Music Video | Latest Punjabi Songs 2017 | VS Records,VS RECORDS,10,2017-11-12T10:29:59.000Z,836006,24460,180,594,Music
7gShaSuK_PY,2017-11-14,ஜெயலலிதாவின் உயில் சிக்கியது  அப்பல்லோ சி.டி.யை தேடிய  அதிகாரிகள் - சோதனையின் பின்னணி,Next Gen,22,2017-11-13T06:52:47.000Z,89531,238,59,18,People & Blogs
ep3SLMuRbvg,2017-11-14,TYPES OF STUDENTS- | Elvish Yadav |,Elvish yadav,23,2017-11-13T11:26:02.000Z,344545,25717,417,2870,Comedy
ePO5M5DE01I,2017-11-14,Tiger Zinda Hai | Official Trailer | Salman Khan | Katrina Kaif,YRF,1,2017-11-07T06:01:50.000Z,35885754,829362,61195,101117,Film & Animation
CLl1RbxDRAs,2017-11-14,Meri Setting Karwado Prank - Bakchodi ki Hadd - TST comment Trolling,TroubleSeekerTeam,23,2017-11-12T13:16:38.000Z,209599,14070,448,1105,Comedy
1ZAPwfrtAFY,2017-11-14,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,2017-11-13T07:30:00.000Z,2418783,97187,6146,12703,Entertainment
ZIHhuwvT7R0,2017-11-14,"Asli Fighter (Okka Ammayi Thappa) 2017 NEW Full Hindi Dubbed Movie | Sundeep Kishan, Nithya Menen",RKD Digital,24,2017-11-11T19:24:38.000Z,2294242,14960,1361,913,Entertainment
1kuJkA9usqg,2017-11-14,"Deivamagal Episode 1387, 13/11/17",VikatanTV,24,2017-11-13T15:00:01.000Z,387221,2159,1214,711,Entertainment
Mqfh8_Uk1eM,2017-11-14,Sudigaali Sudheer Performance | Extra Jabardasth | 10th November 2017 | ETV Telugu,ETV Jabardasth,22,2017-11-10T20:38:52.000Z,1956925,9504,938,956,People & Blogs
0SMKG3SRGzQ,2017-11-14,Rana hungama at #ChaySam Wedding Reception || TV9,TV9 Telugu,19,2017-11-12T16:08:13.000Z,176472,588,52,23,Travel & Events
z3V9LUA6VQM,2017-11-14,ఆమె బ్యాంకు అకౌంట్ లో పొరపాటున 125 కోట్లు జమయాయ్యి..! దీంతో ఆమె ఏం చేసిందో తెలుసా..|| OmFut,OmFut,24,2017-11-12T09:45:58.000Z,236710,858,197,66,Entertainment
tFM-GNSeXzw,2017-11-14,दिन भर की 5 बड़ी ख़बरें @HindiKhabar 12 NOVEMBER  2017,Hindi Khabar,25,2017-11-12T15:26:04.000Z,85432,114,91,13,News & Politics
MF9ovM9y0PE,2017-11-14,Punyalan Private Limited Official Teaser 2 | Jayasurya | Ranjith Sankar | Aju Varghese,DREAMS N BEYOND,1,2017-11-12T04:30:00.000Z,249423,7861,68,364,Film & Animation
EJVvdjDGnak,2017-11-14,Nagarjuna Funny Comments on Samantha Dress || Naga Chaitany Samantha Akkineni Wedding Reception 2017,Top Telugu TV,24,2017-11-13T07:26:33.000Z,256199,318,123,35,Entertainment
Ukjn7A9L7vY,2017-11-14,SDI Annual Ijtema 2017 Final Day (For Brothers),SDI Channel,27,2017-11-12T19:26:25.000Z,137438,3926,249,131,Education
gW4Su5wq0b8,2017-11-14,Neeya Naana - 12th November 2017 - Promo 2,Vijay Television,24,2017-11-11T07:49:46.000Z,261202,1971,126,201,Entertainment
vMLs3kIuhzA,2017-11-14,Divya Agarwal Announces Official BREAK UP With Priyank Sharma | Exclusive,Lehren Small Screen,24,2017-11-11T09:13:14.000Z,655660,8505,868,1361,Entertainment
P-pycrmifwU,2017-11-14,Natural Star Nani REAL Behaviour Shocks You | Naga Chaitanya and Samantha Reception Video | NewsQube,NewsQube,24,2017-11-13T06:57:02.000Z,423009,1514,347,118,Entertainment
jElRtesCnlA,2017-11-14,Breaking News IT Raid - நடந்தது என்ன? சிக்கியது என்ன?,Sathiyam News,25,2017-11-13T07:59:26.000Z,33533,0,0,10,News & Politics
q3eBCWAwVpo,2017-11-14,"Brahmanandam @#ChaySam Wedding Reception || Naga Chaitanya, Samantha Akkineni Reception",NTV Telugu,25,2017-11-12T14:31:13.000Z,75834,160,15,9,News & Politics
qP67alYxSiU,2017-11-14,కెమెరాలో రికార్డ్ అయిన ఈ అద్భుతాన్ని చూస్తే ఆశ్చర్యపోతారు.. HOTNEWS TELUGU,HOTNEWS TELUGU,26,2017-11-12T03:53:49.000Z,128851,0,0,0,Howto & Style
1OTwWFJY_0I,2017-11-14,[PWW] Plenty Wrong With BAHUBALI 2 (450 Mistakes In Baahubali 2) Full Movie | Bollywood Sins #29,Bollywood Sins,24,2017-11-12T04:22:38.000Z,156063,5406,534,1047,Entertainment
01TgqDvqcyk,2017-11-14,Rajj Ke Rona Main - Romy Tahlie | Latest Punjabi Songs 2017 | Tahliwood Records,Tahliwood Records,10,2017-11-11T01:32:00.000Z,1287771,52194,253,3122,Music
pbFr2Vb5hK0,2017-11-14,Chunkzz Official Video Song | Ithu Nava Sumasara | Gopi Sundar | Omar Lulu | Honey Rose,Gopi Sundar Music Company,10,2017-11-13T12:36:32.000Z,56430,244,94,43,Music
JSkOecmAFFo,2017-11-14,Girls On A Date ft. Komal Pandey | The Timeliners,The Timeliners,24,2017-11-11T09:32:05.000Z,793778,21956,1590,1661,Entertainment
Yvp9jUJtMuY,2017-11-14,Naa Show Naa Ishtam |Sathvik &Komali Sisters| 11th November 2017 | Full Episode 105 | ETV Plus,ETV Plus India,23,2017-11-11T17:27:05.000Z,309490,1560,200,108,Comedy
7yTWI873yfg,2017-11-14,Review On Bigg Boss 11: OMG! Hina Khan Vs Salman Khan part 2,Saas Bahu Aur Betiyaan,24,2017-11-11T10:33:38.000Z,334780,1307,230,744,Entertainment
q0-SCcsuSSs,2017-11-14,Akkineni Nagarjuna Response On Annapurna Studios Fire Mishap |Manam Movie House Setting Fired| iNews,I News,25,2017-11-13T15:30:47.000Z,23932,0,0,7,News & Politics
l3fRny54z4U,2017-11-14,സൗബിനെ വെറും  30 സെക്കൻഡ് സമയം കൊണ്ട് വളച്ചെടുത്ത പേർളി !!,Asianet,24,2017-11-13T11:45:39.000Z,54861,247,20,10,Entertainment
WXN8BzAsi3A,2017-11-14,TVF Inmates | E05 - Smells Like Nostalgia,TheViralFeverVideos,24,2017-11-10T09:59:20.000Z,1174353,20095,2517,2250,Entertainment
E_e3nSdBiqE,2017-11-14,Does GOD EXIST OR NOT? PART 2 | Unknown Facts About GOD Revealed in Telugu | Vikram Aditya | EP#92,Vikram Aditya,24,2017-11-13T03:04:30.000Z,127517,3676,381,2169,Entertainment
yPOnlqGGGGU,2017-11-14,"Genes Promo | 18th November 2017 | Indraneel, Meghana | Genes Latest Promo",mallemalatv,24,2017-11-13T09:55:26.000Z,255707,2267,121,338,Entertainment
znOC3IU0dF8,2017-11-14,Hero Tarun at #ChaySamWeddingReception | Samantha & Naga Chaitanya Reception Videos | News Mantra,News Mantra,24,2017-11-13T06:03:49.000Z,55178,45,94,15,Entertainment
UTVFNrRwL1o,2017-11-14,"Indian Cricketers With HOT Girlfriends & Wives - Virat Anushka,Dhoni Sakshi,Zaheer Sagarika",BiscootTV,24,2017-11-11T19:12:51.000Z,692359,2523,618,194,Entertainment
bx-QX2ZPH60,2017-11-14,Moto X4 Unboxing & Hands On Overview (Indian Unit),Geekyranjit,28,2017-11-13T10:00:04.000Z,238637,7975,368,1274,Science & Technology
UtqE056lqas,2017-11-14,"Lagira Zhala Jee - लगिरा झला जी - Episode 172  - November 13, 2017 - Preview",zeemarathi,24,2017-11-12T02:23:48.000Z,78447,241,11,13,Entertainment
NTiSvK7c810,2017-11-14,சசிகலா குடும்பத்துக்கு  ஆப்பு  வைத்த  ஜெயானந்த் கொளுத்தி போட்ட தீ,TAMIL CINEMA CINI MINI,25,2017-11-13T09:42:18.000Z,32811,48,27,1,News & Politics
y6YY8-k9Cwg,2017-11-14,7 DAILY HABITS OF SELF MADE MILLIONAIRES (HINDI),SeeKen,27,2017-11-12T06:46:34.000Z,103239,7191,91,746,Education
1WTtrHW7uw8,2017-11-14,"Bigg Boss 11 | Eviction Interview | ANGRY Mehjabi calls Hina, Priyank FAKE",BookMyTV,24,2017-11-12T18:00:01.000Z,150806,1311,508,740,Entertainment
w5qMOyPuUqU,2017-11-14,வாணி ராணி - VAANI RANI -  Episode 1416 - 13/11/2017,RadaanMedia,24,2017-11-13T16:30:01.000Z,170707,1152,178,166,Entertainment
4tEqzEo5uKY,2017-11-14,ఈ రోజు కార్తీకమాస చివరి సోమవారం ఇది వింటే 1000 సార్లు కాశీ వెళ్లినంత పుణ్యం దక్కుతుంది.! Lord Shiva,SumanTV,26,2017-11-13T03:30:01.000Z,77888,889,75,44,Howto & Style
3d7NjfTziNM,2017-11-14,Son Of Abish feat. Vir Das & Irrfan Khan,Abish Mathew,23,2017-11-10T14:11:33.000Z,779856,14281,490,1021,Comedy
